study,study6,study8,study9,study10,study11,study12,condition,punonly,helponly,helpfirst,TG,q1correct,q2correct,q3correct,q4correct,q5correct,q6correct,q7correct,compscore,perfectcomp,compscoreTG,perfectcompTG,postqcorrect,crt,highcrt,help,punish,return,anger,bad,deservep,outrage,compassion,deserves,good,posemot,age,male,edu,income,NFC,FII
9,0,0,1,0,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,,,,1,50,33,56,89,59,,,,,27,0,4,7,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,1,,80,,,80,,,,,25,0,5,7,1,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,0,,,,3,0,,,,,,,1,,67,67,100,78,,,,,33,1,5,7,,
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,2,1,,0,,10,,,10,,,,,39,0,4,4,4,4
10,0,0,0,1,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,0,0,,1,,,,,,,,,,34,0,4,8,1,4
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,2,1,1,0,,10,,,10,,,,,29,1,4,2,4,1
8,0,1,0,0,0,0,Helping Only,0,1,,0,0,1,1,1,,,,3,0,,,,,,1,,,,,,,0,44,100,48,46,0,4,3,,
8,0,1,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,3,1,,0,,0,0,0,0,,,,,39,0,2,4,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,,,,1,0,,,,,,,,,,34,0,5,9,1,4
10,0,0,0,1,0,0,Punishment Only,1,0,,1,1,1,1,1,1,1,1,4,1,3,1,,0,0,,1,50,,,,,,,,,48,0,6,7,3,3
11,0,0,0,0,1,0,Helping Only,0,1,,1,1,1,1,0,1,0,1,3,0,2,0,,,,0,,0,,,,,,,,,38,0,5,4,,
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,0,1,0,0,,,,1,0,,,0,3,1,1,1,,70,,,70,,,,,40,0,6,6,2,5
6,1,0,0,0,0,0,Punishment + Helping,0,0,1,0,1,1,1,1,,,,4,1,,,0,0,0,1,0,,0,,,0,,,,,26,1,5,5,4,3
11,0,0,0,0,1,0,Punishment + Helping,0,0,1,1,1,1,1,1,1,0,1,4,1,2,0,,,,1,1,70,,,,,,,,,20,0,5,5,,
10,0,0,0,1,0,0,Punishment + Helping,0,0,1,1,1,1,1,0,0,1,1,3,0,2,0,,,,1,1,100,,,,,,,,,48,0,2,5,2,4
6,1,0,0,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,1,3,1,,0,,90,,,90,,,,,22,1,5,5,4,4
9,0,0,1,0,0,0,Punishment Only,1,0,,0,1,1,1,1,,,,4,1,,,,,,,1,,56,22,67,48,,,,,24,0,4,3,,
